X	Y	Grav
91	387	73
19	812	70.5
905	698	68.7
109	712	67.5
303	740	66.7
383	861	66.3
468	710	66.1
697	450	66
915	274	66
334	464	66.2
929	609	66.5
636	923	67.1
850	376	67.7
86	472	73.5
132	909	70.7
892	133	68.6
364	38	67
199	876	65.9
473	974	65.3
664	192	64.9
295	356	64.8
438	404	64.9
877	127	65.2
10	644	65.6
782	84	66.2
584	244	66.9
272	49	74
40	309	71
246	474	68.5
777	523	66.5
150	419	65
72	848	64.1
774	368	63.6
106	411	63.4
502	197	63.6
905	23	64
447	742	64.6
602	221	65.2
393	334	65.9
429	981	74.9
839	934	71.6
442	843	68.6
545	846	66.1
749	845	64.2
368	469	62.9
257	43	62.2
488	537	62.1
402	401	62.3
282	157	62.8
914	18	63.5
975	349	64.2
442	538	64.8
103	966	76.7
219	612	72.9
26	151	69.3
695	607	66.2
942	553	63.8
342	875	62.1
248	305	61.1
622	28	60.9
159	416	61.1
604	776	61.7
88	370	62.4
460	357	63.1
184	208	63.7
505	150	79.6
501	749	75.2
804	930	70.8
856	788	67
309	190	63.9
936	247	61.7
704	693	60.4
840	401	60
573	552	60.2
554	823	60.7
320	747	61.4
629	870	62.1
436	578	62.6
425	240	83.7
500	305	78.5
542	385	73.3
66	473	68.6
106	507	64.8
34	868	62
85	676	60.2
799	924	59.5
861	470	59.5
375	992	60
34	453	60.7
321	123	61.3
109	119	61.8
502	668	88.9
847	948	82.7
136	174	76.5
756	133	71
922	385	66.3
208	936	62.8
920	644	60.6
926	67	59.5
346	842	59.3
136	521	59.6
157	690	60.2
640	16	60.8
180	897	61.2
865	994	94.4
919	575	87.2
185	278	80.1
451	506	73.6
527	806	68.1
41	910	64
134	911	61.3
860	44	59.8
292	226	59.4
669	822	59.5
350	98	60
885	425	60.6
497	531	61
917	971	99.5
30	851	91.4
796	956	83.3
459	663	76.1
889	506	70
125	422	65.4
896	444	62.2
883	942	60.4
851	37	59.7
905	744	59.7
206	622	60.1
441	925	60.6
670	812	61.1
578	447	103.2
894	346	94.3
534	255	85.7
834	74	78
517	92	71.5
996	711	66.5
669	894	63.1
518	461	61.1
888	611	60.2
811	76	60.1
470	505	60.4
402	384	60.9
292	65	61.5
776	344	104.9
782	523	95.6
833	652	86.8
41	994	78.9
82	280	72.3
65	574	67.3
692	554	63.8
501	533	61.7
502	175	60.7
477	602	60.5
54	544	60.9
938	950	61.5
588	60	62.1
358	602	104.1
661	363	94.9
341	368	86.2
122	259	78.7
502	404	72.4
485	100	67.6
122	325	64.3
875	393	62.3
547	783	61.3
209	718	61.1
523	621	61.5
704	236	62.1
477	295	62.9
